,,,,,,,,,,,,,,,,,,,,,,,,,,
,空売り残高に関する情報,,,,,,,,,,,,,,,,,,,,,,,,,
,Information on Outstanding Short Selling Positions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"公表年月日
Date of Disclosure",2019/04/26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,計算年月日,銘柄コード,"銘柄名
（日本語／英語）",,商号・名称・氏名,住所・所在地,委託者・投資一任契約の相手方の商号・名称・氏名,委託者・投資一任契約の相手方の住所・所在地,信託財産・運用財産の名称,空売り残高割合,空売り残高数量,空売り残高売買単位数,直近計算年月日,直近空売り残高割合,備考,,,,,,,,,,,
,Date of Calculation,Code of Stock,"Name of Stock
(Japanese / English)",,Name of Short Seller,Address of Short Seller,Name of Discretionary Investment Contractor ,Address of Discretionary Investment Contractor,Name of Investment Fund,Ratio of Short Positions to Shares Outstanding,Number of Short Positions in Shares,Number of Short Positions in Trading Units,Date of Calculation in Previous Reporting,Ratio of Short Positions in Previous Reporting ,Notes,,,,,,,,,,,
,2019/04/24,1329 ,ｉシェアーズ・コア　日経２２５　ＥＴＦ　受益証券,iShares Core Nikkei 225 ETF,J.P. MORGAN SECURITIES PLC,25 BANK STREET CANARY WHARF LONDON E14 5JP UNITED KINGDOM REG. NO. 2711006,,,,6.02%,"1,998,500 ","1,998,500 ",2019/03/01,0.08%,,,,,,,,,,,,
,2019/04/24,1448 ,スペースバリューホールディングス　普通株式,"SPACE VALUE HOLDINGS CO.,LTD.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.66%,"237,798 ","2,377 ",2019/04/22,0.72%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,1466 ,ダイワ上場投信－ＪＰＸ日経４００ダブルインバース・インデックス　受益証券,Daiwa ETF Japan JPX-Nikkei 400 Double Inverse (-2x) Index,個人,,,,,0.00%,0 ,0 ,2019/04/19,1.06%,,,,,,,,,,,,
