Date,Stock Code,Stock Name,Aggregated Reportable Short Positions (Shares),Aggregated Reportable Short Positions (HK$)
18/04/2019,1,CKH HOLDINGS,2562767,212197108
18/04/2019,2,CLP HOLDINGS,10046615,891134751
18/04/2019,3,HK & CHINA GAS,129158702,2384269639
18/04/2019,4,WHARF HOLDINGS,22712284,507619547
18/04/2019,5,HSBC HOLDINGS,42505972,2873403707
18/04/2019,6,POWER ASSETS,24993039,1362120626
18/04/2019,8,PCCW,51716970,247207117
18/04/2019,10,HANG LUNG GROUP,16844081,392467087
18/04/2019,11,HANG SENG BANK,7845512,1605191755
18/04/2019,12,HENDERSON LAND,13123032,654183145
18/04/2019,14,HYSAN DEV,2093130,88539399
18/04/2019,16,SHK PPT,10816626,1444019571
18/04/2019,17,NEW WORLD DEV,40971016,544095092
18/04/2019,19,SWIRE PACIFIC A,14775736,1458365143
18/04/2019,20,WHEELOCK,4642755,257440765
18/04/2019,23,BANK OF E ASIA,17551286,448435357
18/04/2019,25,CHEVALIER INT'L,0,0
18/04/2019,26,CHINA MOTOR BUS,0,0
18/04/2019,27,GALAXY ENT,84761787,4971278808
18/04/2019,28,TIAN AN,0,0
18/04/2019,32,CROSS-HAR(HOLD),0,0
18/04/2019,34,KOWLOON DEV,0,0
18/04/2019,35,FE CONSORT INTL,8108598,31218102
18/04/2019,41,GREAT EAGLE H,160768,6157414
18/04/2019,43,C.P. POKPHAND,0,0
18/04/2019,45,HK&S HOTELS,2615184,31329904
18/04/2019,50,HK FERRY (HOLD),0,0
18/04/2019,51,HARBOUR CENTRE,0,0
18/04/2019,52,FAIRWOOD HOLD,96000,2606400
18/04/2019,53,GUOCO GROUP,0,0
18/04/2019,54,HOPEWELL HOLD,799000,30841400
18/04/2019,56,ALLIED PPT (HK),0,0
18/04/2019,62,TRANSPORT INT'L,0,0
18/04/2019,64,GET NICE,0,0
18/04/2019,66,MTR CORPORATION,22720404,1078083170
18/04/2019,69,SHANGRI-LA ASIA,17860998,198614298
18/04/2019,71,MIRAMAR HOTEL,0,0
18/04/2019,75,Y.T. REALTY,0,0
